txHash,tokenId,class,breedCount,withPrice,withPriceUsd,timestamp,numJapan,numMystic,numXmas,level,shouldAscend,part1,part2,part3,part4,part5,part6,summer2022,agamogenesis
0x93e1c8415fac70692a7ded8fca202f2ecc76878aa3ac2186c8643bd19d12c4fd,374498,Aquatic,3,"0,0009","1,46",2023-09-17 20:00:13,0,0,0,1,False,eyes-scar,ears-gill,back-goldfish,mouth-risky-fish,horn-shoal-star,tail-nimo,0,0
0xeb73e9b0471b9d5f3382ae1cd44fe579e44864620332a2ccd95bd1185f525022,4721505,Plant,0,"0,00247224","4,01",2023-09-17 20:00:04,0,0,0,9,True,eyes-papi,ears-clover,back-pumpkin,mouth-serious,horn-pocky,tail-cattail,0,0
0xbd56f6bf83bf075d96602ce75f0e1b8d8fd50d1a1301d35389646283575c8f85,4931656,Reptile,3,"0,00095","1,54",2023-09-17 19:59:43,0,0,0,3,False,eyes-tricky,ears-curved-spine,back-green-thorns,mouth-tiny-turtle,horn-incisor,tail-wall-gecko,0,0
0xf4d86c67f017d0f5eddeaba6831d365a2e06cfbc786a3287366c1bbf1b005066,374507,Aquatic,3,"0,0009","1,46",2023-09-17 19:59:19,0,0,0,1,False,eyes-nerdy,ears-inkling,back-spiky-wing,mouth-risky-fish,horn-shoal-star,tail-nimo,0,0
0x7f63c212ab5b12421129282c65d7493c9c8e083ea5dcafa0e0ce1b8d9e80998c,11865209,Dawn,4,"0,01238875","20,08",2023-09-17 19:59:16,0,0,0,1,False,eyes-topaz,ears-innocent-lamb,back-blue-moon,mouth-square-teeth,horn-bumpy,tail-nimo,0,0
0x2882ec5ad4bf08fa961e07c5a61c43dbdaaec68dd74b424610411df983faf5eb,376582,Aquatic,2,"0,0009","1,46",2023-09-17 19:58:52,0,0,0,1,False,eyes-clear,ears-bubblemaker,back-goldfish,mouth-little-owl,horn-kestrel,tail-hatsune,0,0
0xed2a6b7192145961db4550fa1f000e0f7fe1cbb477ca9031ecaa9044f9a6af61,11424940,Beast,0,"0,0037","6,0",2023-09-17 19:58:34,0,0,0,1,False,eyes-sleepless,ears-coca,back-goldfish,mouth-goda,horn-imp,tail-tiny-dino,1,0
0xaaab27967416125faa513f9324d864e9e89a8e15ab73935163467442ad967372,366885,Beast,3,"0,00090461","1,47",2023-09-17 19:58:28,0,0,0,1,False,eyes-chubby,ears-nyan,back-ronin,mouth-nut-cracker,horn-unko,tail-nut-cracker,0,0
0x410a242404b1ae2a1c4fe4c5f4408fa8adc9e0ede78f2dc2ca26bd42da032cba,376583,Aquatic,3,"0,0009","1,46",2023-09-17 19:58:19,0,0,0,1,False,eyes-mavis,ears-peace-maker,back-goldfish,mouth-hungry-bird,horn-shoal-star,tail-nimo,0,0
0x15b8f77692af13949b2a2c96a25e4c18c073bbc95cf6f6cc17667c007eb20daa,11869583,Mech,4,"0,02130316","34,53",2023-09-17 19:58:13,0,0,0,1,False,eyes-topaz,ears-innocent-lamb,back-garish-worm,mouth-square-teeth,horn-babylonia,tail-nimo,0,0
