ID,Display Order,Category,Rarity,Description,Name,Token Standard,Token Address,Token ID,Image URL
moon_crystal,10.0,Material,Rare,"Used when crafting: Reduced chance of Rare.
Limited to Intermediate Recipes and above.",Moon Dust (Basic),,,,https://storage.googleapis.com/origin-production/assets/item/moon_crystal.png
lunar_blessing,11.0,Material,Epic,"Used when crafting: Reduced chance of Rare and increased chance of Epic.
Limited to Intermediate Recipes and above.",Moon Dust (Epic),,,,https://storage.googleapis.com/origin-production/assets/item/lunar_blessing.png
ancient_crescent_epic,14.0,Material,Epic,"Used when crafting: Increased chance of a Rune. Reduced chance of Rare and increased chance of Epic.
Limited to Intermediate Recipes and above.",Ancient Moonstone (Epic),,,,https://storage.googleapis.com/origin-production/assets/item/ancient_crescent_epic.png
ancient_crescent_mystic,15.0,Material,Mystic,"Used when crafting: Increased chance of a Rune. Reduced chance of Rare and increased chance of Mystic.
Limited to Master Recipes.",Ancient Moonstone (Mystic),,,,https://storage.googleapis.com/origin-production/assets/item/ancient_crescent_mystic.png
axie_mit,5.0,Axie,Rare,Starter Axie. Class: Plant.,Mit,,,,https://storage.googleapis.com/origin-production/assets/item/axie_mit.png
rune_beast_2001_s0,10220011.0,Special,Rare,Cannot gain Shield. Take 15% less DMG.,Pangolin Scale,,,,https://storage.googleapis.com/origin-production/assets/item/rune_beast_defensive_1.png
eclipse_stone,12.0,Material,Mystic,"Used when crafting: Reduced chance of Rare and increased chance of Mystic.
Limited to Master Recipes.",Moon Dust (Mystic),,,,https://storage.googleapis.com/origin-production/assets/item/eclipse_stone.png
axie_noir,5.0,Axie,Rare,Starter Axie. Class: Aquatic.,Noir,,,,https://storage.googleapis.com/origin-production/assets/item/axie_noir.png
axie_rouge,5.0,Axie,Rare,Starter Axie. Class: Aquatic.,Rouge,,,,https://storage.googleapis.com/origin-production/assets/item/axie_rouge.png
ecard_dusk_5004,21040020.0,Special,Mystic,"(Enhance any cards)
Add <Retain>.",Cursed Doll,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_dusk_5004.png
feature_battle_pause,,Special,Common,,Pause Battle,,,,https://storage.googleapis.com/origin-production/assets/item/secret.png
maxs,5.0,Material,Epic,Automatically converted to AXS at a 1000:1 ratio and sent to your Ronin wallet at the end of the season.,mAXS,ERC20,0x97a9107c1793bc407d6f527b77e7fff4d812bece,0,https://storage.googleapis.com/origin-production/assets/item/maxs.png
emaxs,6.0,Material,Epic,Automatically converted to AXS at a 1000:1 ratio and sent to your Ronin wallet at the end of the season.,EmAXS,,,,https://storage.googleapis.com/origin-production/assets/item/emaxs.png
stk_angry,1.0,Cosmetic,Common,Default Sticker,Angry,,,,https://storage.googleapis.com/origin-production/assets/sticker/Angry.png
stk_ano,1.0,Cosmetic,Common,Default Sticker,Ano,,,,https://storage.googleapis.com/origin-production/assets/sticker/Ano.png
stk_bark,1.0,Cosmetic,Common,Default Sticker,Bark,,,,https://storage.googleapis.com/origin-production/assets/sticker/Bark.png
stk_bonk,1.0,Cosmetic,Common,Default Sticker,Bonk,,,,https://storage.googleapis.com/origin-production/assets/sticker/Bonk.png
stk_cheer,1.0,Cosmetic,Common,"Earned from reaching the final milestone in the Contest: ""Plantstravaganza"" ",Cheers,,,,https://storage.googleapis.com/origin-production/assets/sticker/Cheer.png
ecard_beast_4003_s0,20240031.0,Special,Mystic,"(Enhance an Attack card)
Attacks appy {Bleed} for 4 turns.",Hidden Razor,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_beast_5005.png
ecard_neutral_5004_s0,20150041.0,Special,Mystic,"(Enhance any card)
Add <Banish>.",Energy Drink M,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_neutral_5005.png
ecard_reptile_3003_s1_nft,20730030.0,Special,Epic,"(Enhance any Attack card)
Apply {Taunt} to this Axie for 4 turns.",Gecko Mask,ERC1155,0x814A9C959a3Ef6CA44b5e2349e3bBa9845393947,2001063,https://storage.googleapis.com/origin-production/assets/item/ecard_reptile_4003.png
axie_xia,5.0,Axie,Rare,Starter Axie. Class: Beast.,Xia,,,,https://storage.googleapis.com/origin-production/assets/item/axie_xia.png
axie_bing,5.0,Axie,Rare,Starter Axie. Class: Beast.,Bing,,,,https://storage.googleapis.com/origin-production/assets/item/axie_bing.png
ecard_aquatic_5003,20640010.0,Special,Mystic,"(Enhance any card)
Add <Ethereal>.",Aquatic Energy Drink S,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_aquatic_5003.png
ecard_dawn_4003,20930030.0,Special,Epic,"(Enhance any card)
All teammates gain 2 {Healing Boost}.",Bean's Blessing,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_dawn_4003.png
ecard_aquatic_5004,20640020.0,Special,Mystic,"(Enhance any card)
Add <Retain>. Card's base stat -10%.",Sticky Octopus,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_aquatic_5004.png
ecard_dusk_5005,21040030.0,Special,Mystic,"(Enhance an Attack card)
Apply {Doubt} for 2 turns.",Arid Spell,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_dusk_5005.png
ecard_mech_4001,20820010.0,Special,Rare,"(Enhance a Non-Multihit Attack card)
ATK +6",Mech's Charm of Power I,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_mech_4001.png
ecard_neutral_3004,20130040.0,Special,Epic,"(Enhance Shielding cards)
Shield Stat +7",Charm of Endurance III,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_neutral_3004.png
stk_cool,1.0,Cosmetic,Common,"Earned from placing top 10,000 in Season 2's Offseason Leaderboard",Cool!!!,,,,https://storage.googleapis.com/origin-production/assets/sticker/Cool.png
rune_neutral_2002_s0_nft,10120020.0,Special,Rare,Attack cards gain 15% {Class Bonus}.,Pure Power,ERC1155,0xC25970724f032aF21d801978C73653c440CF787c,1000030,https://storage.googleapis.com/origin-production/assets/item/rune_neutral_offensive_2.png
rune_neutral_3001_s0,10130011.0,Special,Epic,All cards gain 15% {Class Bonus}.,Pure Instinct,,,,https://storage.googleapis.com/origin-production/assets/item/rune_neutral_hybrid_2.png
ecard_aquatic_5005,20640030.0,Special,Mystic,"(Enhance any Attack card)
Attack applies {Vulnerable} for 4 turns.",Paralyzing Jellyfish,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_aquatic_5005.png
ecard_neutral_3005,20130050.0,Special,Epic,"(Enhance Healing cards)
Heal Stat +7",Charm of Faith III,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_neutral_3005.png
rune_mech_4001_s0_nft,10840010.0,Special,Mystic,{Solo}. Increase Shield card's effect by 15%. This Axie's Shield isn't removed when your enemy's turn ends.,Shield Backup,ERC1155,0xC25970724f032aF21d801978C73653c440CF787c,1000028,https://storage.googleapis.com/origin-production/assets/item/rune_mech_utility_1.png
